,Other,Recombinants,Delta,BA.1,BA.2.X,BA.2.12.X,BA.4.X,BA.5.X,BQ.1.X,BQ.1.1.X,XBB.X,XBB.1.5.X,XBB.1.16.X,XBB.2.3.X,XBB.1.9.X,EG.5.X,BA.2.86.X
2022-05-01,0.0003219933333333443,0.0,0.0,0.0,0.0,0.0,0.6679729966666667,0.33170501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,0.0004576424999999662,0.0,0.0,0.0,0.062935455,0.0,0.7329139025,0.20369299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.02220843090909089,0.03943590909090909,0.0,0.0,0.021036245454545452,0.0,0.40837783818181816,0.5089415763636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.28502220885714286,0.006156332857142857,0.024416592285714286,0.0,0.005739936857142857,0.0,0.19178200085714284,0.4868829282857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,0.19335923761904764,0.03630501857142857,0.0,0.07728831619047619,0.01430426761904762,0.0,0.09196276666666667,0.5842407123809524,0.002539680952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.28716073413793103,0.06303141448275863,0.000988543103448276,0.0,0.013710220689655172,0.0019231993103448275,0.03139848620689655,0.5491047686206897,0.02455994448275862,0.028122688965517242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.14291306933333334,0.027589348,0.0,0.0,0.0007211846666666667,0.0,0.002976706,0.7713806583333334,0.022278220666666664,0.032140813000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,0.2648250583333333,0.000213,0.0,0.0,0.0028505741666666664,0.0,0.00923988,0.5244462125,0.1080584725,0.0903668025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.058489743749999996,0.012556648750000001,0.02159436166666667,0.0,0.07802217499999999,0.0,0.0,0.25397600833333334,0.07565026625,0.39562652375,0.051066280416666665,0.05301799208333333,0.0,0.0,0.0,0.0,0.0
2023-02-01,0.032204448399999995,0.006402180800000001,0.0027841156,0.0087529068,0.1028148056,0.0,0.0,0.0601492804,0.07382847079999999,0.2117032004,0.10527805080000001,0.363589886,0.0,0.0,0.0324926544,0.0,0.0
2023-03-01,0.011187086206896554,0.0,0.0,0.0,0.007106254482758621,0.0018189165517241378,0.0,0.03757468206896552,0.011061354827586207,0.011633609310344828,0.05359819931034483,0.7093824444827586,0.0,0.0,0.1566374527586207,0.0,0.0
2023-04-01,0.0003091678260869684,0.0006993113043478261,0.0,0.0,0.0020631304347826086,0.0,0.0,0.0003331669565217391,0.0,0.0,0.08201362347826087,0.6997516173913043,0.0,0.0,0.21482998260869565,0.0,0.0
2023-05-01,0.036422814285714276,0.0012960821428571428,0.0,0.0,0.0032398589285714285,0.0,0.0,0.0,0.0,0.0,0.08660649035714285,0.5772112085714286,0.0,0.0,0.2952235457142857,0.0,0.0
2023-06-01,0.00252253999999974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974774600000003,0.0,0.0,0.0,0.0,0.0
2023-07-01,0.004088662307692337,0.0,0.0,0.0,0.2602302930769231,0.0,0.0,0.0,0.0,0.0,0.21111610153846155,0.4521409153846153,0.03959575846153846,0.0,0.03282826923076923,0.0,0.0
2023-08-01,0.007356232432432394,0.011294314864864865,0.006670107027027027,0.0,0.035870071351351354,0.00014688594594594595,0.0,0.0,0.0,0.0,0.3367821091891892,0.45631510081081084,0.018238934864864866,0.0,0.030651834864864863,0.0,0.09667440864864865
2023-09-01,0.0036862147999999926,0.0,0.0,0.0,0.08537489799999999,0.0,0.00070839,0.0037483699999999996,0.0,0.0,0.32196806520000004,0.2419212024,0.0158251248,0.011268990000000001,0.0156970348,0.0121473228,0.2876543872
